delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,delay_hours,cluster
250.99,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,8.0,8.0,no,delivered,3,1632.7206,0.0,0
250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,2.0,3.0,no,delivered,5,640.17,-0.9999999999999999,1
250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,10.0,16.0,no,delivered,4,1448.17,-6.000000000000001,2
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,6.0,8.0,no,delivered,3,1486.57,-2.0000000000000004,0
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,9.0,16.0,no,delivered,4,1394.56,-7.000000000000002,2
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,4.0,2.0,yes,delayed,3,391.45,2.0,1
250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,6.0,8.0,no,delivered,3,1222.87,-2.0000000000000004,0
250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,4.0,8.0,no,delivered,3,800.89,-4.0,1
250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,5.0,8.0,no,delivered,5,854.18,-3.0000000000000004,1
250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,3.0,8.0,no,delivered,5,423.34,-5.0,1
250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,5.0,8.0,no,delivered,4,1632.15,-3.0000000000000004,2
250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,3.0,16.0,no,delivered,5,541.44,-13.0,3
250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,8.0,16.0,no,delivered,4,1350.18,-8.0,2
250.99,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,6.0,2.0,yes,failed,1,155.08,3.9999999999999996,1
250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,12.0,16.0,no,delivered,3,1263.27,-4.000000000000001,0
